iter	Passed	Remaining
461	767	893
462	768	891
463	769	888
464	771	887
465	773	885
466	774	883
467	775	881
468	775	878
469	776	875
470	777	873
471	777	870
472	778	867
473	779	864
474	779	862
475	780	859
476	781	856
477	782	854
478	782	851
479	785	850
480	789	851
481	791	850
482	792	848
483	793	845
484	793	842
485	794	840
486	795	837
487	796	835
488	796	832
489	797	830
490	798	827
491	803	829
492	804	827
493	805	824
494	806	822
495	807	820
496	808	817
497	809	815
498	809	813
499	810	810
500	811	808
501	812	805
502	812	803
503	813	800
504	816	800
505	817	798
506	819	797
507	820	794
508	821	792
509	822	789
510	822	787
511	823	784
512	824	782
513	824	779
514	825	777
515	826	775
516	827	772
517	827	770
518	830	770
519	832	768
520	834	766
521	835	765
522	837	763
523	837	761
524	838	758
525	839	756
526	840	754
527	841	751
528	852	758
529	853	756
530	854	754
531	855	752
532	857	750
533	858	748
534	859	747
535	861	745
536	863	744
537	864	742
538	865	740
539	866	738
540	868	736
541	870	735
542	873	734
543	875	734
544	877	732
545	880	731
546	881	729
547	883	728
548	884	726
549	886	724
550	887	722
551	888	720
552	898	725
553	900	724
554	901	722
555	902	720
556	904	718
557	911	721
558	912	720
559	914	718
560	922	722
561	924	720
562	925	718
563	926	716
564	928	714
565	933	715
566	937	716
567	940	714
568	941	713
569	942	711
570	943	708
571	944	706
572	947	705
573	948	704
574	950	702
575	951	700
576	952	698
577	953	696
578	954	693
579	955	691
580	956	689
581	957	687
582	958	685
583	960	684
584	962	682
585	963	680
586	964	678
587	965	676
588	966	674
589	967	672
590	968	670
591	969	668
592	970	666
593	971	664
594	972	661
595	973	659
596	976	658
597	977	657
598	979	655
599	980	653
600	981	651
601	982	649
602	983	647
603	983	645
604	984	642
605	985	640
606	986	638
607	987	636
608	988	634
609	990	633
610	992	631
611	993	630
612	995	628
613	996	626
614	996	624
615	998	622
616	999	620
617	1000	618
618	1001	616
619	1002	614
620	1007	614
621	1008	612
622	1009	610
623	1010	608
624	1011	606
625	1011	604
626	1012	602
627	1013	600
628	1014	598
629	1015	596
630	1015	594
631	1016	591
632	1017	589
633	1019	588
634	1021	587
635	1023	585
636	1024	583
637	1025	582
638	1027	580
639	1028	578
640	1029	576
641	1030	574
642	1030	572
643	1031	570
644	1033	569
645	1035	567
646	1036	565
647	1037	563
648	1038	561
649	1039	559
650	1040	557
651	1041	555
652	1042	553
653	1043	552
654	1044	550
655	1045	548
656	1049	547
657	1051	546
658	1052	544
659	1053	542
660	1054	540
661	1055	538
662	1056	536
663	1057	534
664	1058	533
665	1058	531
666	1059	529
667	1061	527
668	1063	526
669	1064	524
670	1065	522
671	1066	520
672	1067	518
673	1068	516
674	1069	515
675	1070	513
676	1071	511
677	1072	509
678	1073	507
679	1074	505
680	1080	506
681	1081	504
682	1082	502
683	1083	500
684	1085	499
685	1086	497
686	1087	495
687	1088	493
688	1089	491
689	1091	490
690	1093	488
691	1094	487
692	1095	485
693	1096	483
694	1096	481
695	1097	479
696	1098	477
697	1099	475
698	1100	473
699	1100	471
700	1101	469
701	1102	467
702	1104	466
703	1105	464
704	1107	463
705	1108	461
706	1110	460
707	1111	458
708	1111	456
709	1112	454
710	1113	452
711	1114	450
712	1115	448
713	1116	447
714	1116	445
715	1118	443
716	1120	442
717	1122	440
718	1123	439
719	1125	437
720	1126	435
721	1127	433
722	1128	432
723	1129	430
724	1129	428
725	1130	426
726	1131	424
727	1132	423
728	1134	421
729	1135	420
730	1137	418
731	1138	416
732	1139	415
733	1140	413
734	1141	411
735	1142	409
736	1143	407
737	1143	406
738	1144	404
739	1145	402
740	1149	401
741	1151	400
742	1152	398
743	1153	396
744	1154	395
745	1155	393
746	1156	391
747	1157	389
748	1158	388
749	1158	386
750	1159	384
751	1160	382
752	1161	380
753	1162	379
754	1164	378
755	1165	376
756	1167	374
757	1168	373
758	1169	371
759	1170	369
760	1171	367
761	1171	366
762	1172	364
763	1173	362
764	1174	360
765	1174	358
766	1175	357
767	1177	355
768	1179	354
769	1181	352
770	1182	351
771	1183	349
772	1184	347
773	1185	346
774	1186	344
775	1186	342
776	1187	340
777	1188	339
778	1189	337
779	1189	335
780	1192	334
781	1194	332
782	1196	331
783	1197	329
784	1198	328
785	1199	326
786	1200	324
787	1201	323
788	1202	321
789	1202	319
790	1203	318
791	1204	316
792	1206	314
793	1207	313
794	1210	312
795	1211	310
796	1212	308
797	1212	307
798	1213	305
799	1214	303
800	1215	301
801	1215	300
802	1216	298
803	1217	296
804	1218	295
805	1222	294
806	1224	292
807	1226	291
808	1227	289
809	1228	288
810	1229	286
811	1230	284
812	1230	283
813	1232	281
814	1233	280
815	1235	278
816	1237	277
817	1238	275
818	1239	273
819	1240	272
820	1240	270
821	1241	268
822	1242	267
823	1243	265
824	1244	263
825	1245	262
826	1245	260
827	1246	258
828	1251	258
829	1252	256
830	1253	254
831	1253	253
832	1254	251
833	1255	249
834	1256	248
835	1256	246
836	1257	244
837	1258	243
838	1259	241
839	1260	240
840	1261	238
841	1264	237
842	1265	235
843	1266	234
844	1267	232
845	1267	230
846	1268	229
847	1269	227
848	1270	225
849	1270	224
850	1271	222
851	1273	221
852	1274	219
853	1275	217
854	1279	217
855	1281	215
856	1282	213
857	1282	212
858	1283	210
859	1284	209
860	1285	207
861	1286	205
862	1287	204
863	1288	202
864	1288	201
865	1289	199
866	1290	197
867	1292	196
868	1294	195
869	1295	193
870	1296	191
871	1296	190
872	1297	188
873	1298	187
874	1298	185
875	1299	184
876	1300	182
877	1301	180
878	1302	179
879	1302	177
880	1303	176
881	1304	174
882	1305	172
883	1307	171
884	1308	170
885	1310	168
886	1311	167
887	1312	165
888	1313	164
889	1314	162
890	1315	160
891	1316	159
892	1316	157
893	1317	156
894	1318	154
895	1319	153
896	1320	151
897	1323	150
898	1325	148
899	1326	147
900	1327	145
901	1329	144
902	1330	142
903	1331	141
904	1332	139
905	1333	138
906	1334	136
907	1335	135
908	1337	133
909	1339	132
910	1340	130
911	1343	129
912	1345	128
913	1346	126
914	1347	125
915	1348	123
916	1349	122
917	1352	120
918	1354	119
919	1356	117
920	1357	116
921	1359	114
922	1359	113
923	1360	111
924	1361	110
925	1362	108
926	1363	107
927	1367	106
928	1369	104
929	1370	103
930	1372	101
931	1373	100
932	1374	98
933	1375	97
934	1376	95
935	1377	94
936	1378	92
937	1381	91
938	1383	89
939	1385	88
940	1386	86
941	1387	85
942	1388	83
943	1389	82
944	1390	80
945	1390	79
946	1391	77
947	1392	76
948	1393	74
949	1395	73
950	1397	72
951	1399	70
952	1400	69
953	1401	67
954	1402	66
955	1402	64
956	1403	63
957	1404	61
958	1404	60
959	1405	58
960	1406	57
961	1407	55
962	1408	54
963	1408	52
964	1411	51
965	1413	49
966	1414	48
967	1414	46
968	1415	45
969	1416	43
970	1417	42
971	1417	40
972	1418	39
973	1419	37
974	1420	36
975	1421	34
976	1421	33
977	1422	32
978	1423	30
979	1425	29
980	1426	27
981	1428	26
982	1429	24
983	1430	23
984	1430	21
985	1431	20
986	1432	18
987	1433	17
988	1433	15
989	1434	14
990	1435	13
991	1436	11
992	1437	10
993	1438	8
994	1440	7
995	1442	5
996	1443	4
997	1444	2
998	1445	1
999	1445	0
